Site,Sample_Type,Treatment,Tank_No,Tank_Name,Date,Salinity,Dispersal,Sample,NH4_uM,NH4_mg_L,NO3NO2_uM,NO3NO2_mg_L,PO4_uM,PO4_mg_L,ngCO2C_mL_day
CSI_Dispersal,W,A,1,A1_2015-July25,25-Jul-15,13,0,CSI-221,0.73,0.01,0.53,0.01,0.03,0.00,0.19
CSI_Dispersal,W,A,2,A2_2015-July25,25-Jul-15,0,0,CSI-222,0.75,0.01,0.53,0.01,0.03,0.00,110.67
CSI_Dispersal,W,A,3,A3_2015-July25,25-Jul-15,0,1,CSI-223,0.99,0.01,0.54,0.01,0.03,0.00,64.06
CSI_Dispersal,W,A,4,A4_2015-July25,25-Jul-15,0,3,CSI-224,1.09,0.02,0.53,0.01,0.03,0.00,46.72
CSI_Dispersal,W,A,5,A5_2015-July25,25-Jul-15,5,2,CSI-225,1.77,0.02,0.53,0.01,0.03,0.00,15.10
CSI_Dispersal,W,A,6,A6_2015-July25,25-Jul-15,5,3,CSI-226,1.59,0.02,0.53,0.01,0.03,0.00,54.99
CSI_Dispersal,W,A,7,A7_2015-July25,25-Jul-15,9,2,CSI-227,1.73,0.02,0.53,0.01,0.03,0.00,155.17
CSI_Dispersal,W,A,8,A8_2015-July25,25-Jul-15,9,3,CSI-228,1.41,0.02,0.54,0.01,0.03,0.00,0.00
CSI_Dispersal,W,A,9,A9_2015-July25,25-Jul-15,13,2,CSI-229,1.04,0.01,0.53,0.01,0.03,0.00,3.90
CSI_Dispersal,W,A,10,A10_2015-July25,25-Jul-15,13,3,CSI-230,1.18,0.02,0.53,0.01,0.08,0.00,81.56
CSI_Dispersal,W,A,11,A11_2015-July25,25-Jul-15,0,2,CSI-231,1.14,0.02,0.53,0.01,0.11,0.00,166.85
CSI_Dispersal,W,B,1,B1_2015-July25,25-Jul-15,13,0,CSI-232,1.37,0.02,0.53,0.01,0.03,0.00,38.10
CSI_Dispersal,W,B,2,B2_2015-July25,25-Jul-15,0,0,CSI-233,1.20,0.02,0.53,0.01,0.03,0.00,60.38
CSI_Dispersal,W,B,3,B3_2015-July25,25-Jul-15,0,1,CSI-234,1.22,0.02,0.53,0.01,0.03,0.00,145.53
CSI_Dispersal,W,B,4,B4_2015-July25,25-Jul-15,0,3,CSI-235,1.24,0.02,0.53,0.01,0.03,0.00,70.73
CSI_Dispersal,W,B,5,B5_2015-July25,25-Jul-15,5,2,CSI-236,1.27,0.02,0.53,0.01,0.03,0.00,11.70
CSI_Dispersal,W,B,6,B6_2015-July25,25-Jul-15,5,3,CSI-237,1.25,0.02,0.53,0.01,0.03,0.00,3.96
CSI_Dispersal,W,B,7,B7_2015-July25,25-Jul-15,9,2,CSI-238,NA,NA,NA,NA,NA,NA,NA
CSI_Dispersal,W,B,8,B8_2015-July25,25-Jul-15,9,3,CSI-239,1.69,0.02,0.53,0.01,0.03,0.00,14.48
CSI_Dispersal,W,B,9,B9_2015-July25,25-Jul-15,13,2,CSI-240,2.18,0.03,0.53,0.01,0.03,0.00,30.50
CSI_Dispersal,W,B,10,B10_2015-July25,25-Jul-15,13,3,CSI-241,1.50,0.02,0.53,0.01,0.03,0.00,58.35
CSI_Dispersal,W,B,11,B11_2015-July25,25-Jul-15,0,2,CSI-242,NA,NA,NA,NA,NA,NA,26.49
CSI_Dispersal,W,C,1,C1_2015-July25,25-Jul-15,13,0,CSI-243,1.63,0.02,0.82,0.01,0.03,0.00,4.47
CSI_Dispersal,W,C,2,C2_2015-July25,25-Jul-15,0,0,CSI-244,2.08,0.03,0.53,0.01,0.03,0.00,107.79
CSI_Dispersal,W,C,3,C3_2015-July25,25-Jul-15,0,1,CSI-245,1.77,0.02,0.53,0.01,0.03,0.00,73.64
CSI_Dispersal,W,C,4,C4_2015-July25,25-Jul-15,0,3,CSI-246,1.69,0.02,0.56,0.01,0.03,0.00,73.40
CSI_Dispersal,W,C,5,C5_2015-July25,25-Jul-15,5,2,CSI-247,2.21,0.03,0.53,0.01,0.03,0.00,77.25
CSI_Dispersal,W,C,6,C6_2015-July25,25-Jul-15,5,3,CSI-248,1.20,0.02,0.53,0.01,0.03,0.00,8.08
CSI_Dispersal,W,C,7,C7_2015-July25,25-Jul-15,9,2,CSI-249,1.22,0.02,1.09,0.02,0.03,0.00,1.18
CSI_Dispersal,W,C,8,C8_2015-July25,25-Jul-15,9,3,CSI-250,1.33,0.02,0.53,0.01,0.09,0.00,1.85
CSI_Dispersal,W,C,9,C9_2015-July25,25-Jul-15,13,2,CSI-251,1.99,0.03,0.65,0.01,0.15,0.00,52.41
CSI_Dispersal,W,C,10,C10_2015-July25,25-Jul-15,13,3,CSI-252,1.69,0.02,0.53,0.01,0.10,0.00,13.56
CSI_Dispersal,W,C,11,C11_2015-July25,25-Jul-15,0,2,CSI-253,1.17,0.02,0.53,0.01,0.03,0.00,58.58
CSI_Dispersal,W,D,1,D1_2015-July25,25-Jul-15,13,0,CSI-254,1.05,0.01,0.53,0.01,0.07,0.00,21.18
CSI_Dispersal,W,D,2,D2_2015-July25,25-Jul-15,0,0,CSI-255,2.22,0.03,0.53,0.01,0.03,0.00,132.16
CSI_Dispersal,W,D,3,D3_2015-July25,25-Jul-15,0,1,CSI-256,2.08,0.03,0.53,0.01,0.03,0.00,267.44
CSI_Dispersal,W,D,4,D4_2015-July25,25-Jul-15,0,3,CSI-257,1.77,0.02,0.53,0.01,0.03,0.00,189.00
CSI_Dispersal,W,D,5,D5_2015-July25,25-Jul-15,5,2,CSI-258,1.49,0.02,0.53,0.01,0.03,0.00,0.73
CSI_Dispersal,W,D,6,D6_2015-July25,25-Jul-15,5,3,CSI-259,1.99,0.03,0.53,0.01,0.03,0.00,37.37
CSI_Dispersal,W,D,7,D7_2015-July25,25-Jul-15,9,2,CSI-260,1.50,0.02,0.53,0.01,0.03,0.00,18.14
CSI_Dispersal,W,D,8,D8_2015-July25,25-Jul-15,9,3,CSI-261,1.69,0.02,0.53,0.01,0.03,0.00,5.80
CSI_Dispersal,W,D,9,D9_2015-July25,25-Jul-15,13,2,CSI-262,1.72,0.02,0.53,0.01,0.03,0.00,10.11
CSI_Dispersal,W,D,10,D10_2015-July25,25-Jul-15,13,3,CSI-263,1.82,0.03,0.53,0.01,0.03,0.00,35.26
CSI_Dispersal,W,D,11,D11_2015-July25,25-Jul-15,0,2,CSI-264,1.09,0.02,0.53,0.01,0.03,0.00,100.90
